B;S;H0;H;Q;W;R;dB
2,00;2,00;1,62;2,00;118,50;1,80;47,19;118,80
3,00;2,50;2,03;4,70;690,00;12,55;104,54;118,70
2,50;3,00;3,48;7,00;144,40;16,55;182,95;118,70
2,50;2,50;3,23;6,00;140,25;13,00;134,13;118,70
3,00;2,50;3,07;5,30;252,50;10,50;104,21;118,70
2,50;3,00;3,26;5,50;330,00;10,55;82,05;118,70
2,50;2,50;3,26;5,30;130,00;9,60;70,04;118,70
2,50;3,00;3,26;5,50;400,00;10,55;100,92;118,60
2,00;2,50;4,26;6,50;95,00;10,55;79,24;118,70
2,50;3,00;3,00;5,50;920,00;11,75;80,80;118,60
2,50;3,00;3,33;6,00;251,00;12,55;125,89;118,60
2,50;2,50;3,54;6,20;400,00;12,50;125,91;118,60
2,50;3,00;3,48;7,00;144,40;16,55;130,18;118,50
2,50;3,00;3,10;6,00;354,00;13,62;123,42;118,60
2,50;3,00;3,26;5,50;212,00;10,55;155,57;118,50
3,00;3,00;3,50;6,00;315,25;11,75;142,05;118,50
2,50;3,00;2,70;6,00;958,00;15,50;123,84;118,30
2,50;3,00;4,33;7,00;96,50;12,55;108,72;118,50
2,50;3,00;3,77;6,00;340,05;10,50;84,22;118,50
2,00;2,00;1,62;2,00;110,50;1,80;39,18;118,50
3,00;3,00;3,40;5,00;37,50;7,50;155,32;118,30
3,00;3,00;3,40;5,00;37,50;7,50;144,70;118,30
2,50;3,00;3,48;7,00;144,40;16,55;124,39;118,30
2,00;2,00;2,57;3,00;30,00;2,00;43,88;118,30
2,50;3,50;2,20;5,50;680,00;15,50;151,91;118,30
2,00;2,00;1,62;2,00;118,50;1,80;46,29;118,30
2,50;2,50;2,81;6,00;385,00;15,00;101,46;118,30
2,50;3,00;2,72;5,50;400,00;13,05;105,65;118,30
3,00;3,00;2,84;5,50;450,00;12,50;171,40;118,30
3,00;2,50;3,07;5,30;252,50;10,50;156,50;118,30
2,50;2,50;2,90;4,50;83,00;7,50;94,31;118,30
3,00;3,00;2,98;5,00;126,60;9,50;109,47;118,20
3,00;2,50;3,60;5,30;113,00;8,00;37,40;118,30
2,50;3,00;2,82;4,00;80,75;5,55;132,51;118,20
2,50;2,50;1,92;5,00;131,00;14,50;104,64;118,20
2,50;3,00;3,10;6,00;354,00;13,62;118,30;118,20
3,00;3,50;3,26;5,50;95,00;10,55;162,31;118,20
2,00;2,00;1,62;2,00;110,50;1,80;51,03;118,20
2,50;3,00;3,26;5,50;320,50;10,55;128,17;118,20
2,50;3,00;4,33;7,00;96,50;12,55;121,73;118,20
2,50;3,00;3,29;5,00;19,70;8,05;101,63;118,20
3,00;3,00;2,98;5,00;126,60;9,50;161,46;118,10
2,50;3,00;2,70;6,00;958,00;15,50;158,90;118,10
2,50;2,50;2,63;5,50;680,00;13,50;202,04;118,10
2,50;2,50;3,54;6,20;380,00;12,50;150,02;118,10
3,00;3,50;3,26;5,50;95,00;10,55;153,70;118,10
2,50;3,00;3,29;5,00;140,30;8,05;73,03;118,10
2,50;2,50;3,23;6,00;327,50;13,00;72,55;117,90
2,50;2,50;3,90;5,50;219,25;7,50;34,37;118,20
2,50;3,00;3,69;5,50;159,90;8,50;53,19;118,10
3,50;2,50;2,20;5,50;356,00;15,50;146,93;117,90
2,50;2,50;3,23;6,00;140,25;13,00;149,43;117,90
2,50;3,00;3,26;5,50;74,40;10,55;208,38;117,90
3,00;2,50;3,23;6,00;160,50;13,00;26,68;128,40
2,50;2,50;3,26;5,30;155,00;9,60;61,16;117,90
